Name,Votes
Sheldon Mac,855
Spencer Dinwiddie,838
Joe Young,781
Marcus Thornton,774
Rodney McGruder,762
Ramon Sessions,719
Treveon Graham,642
Darrun Hilliard,640
Brian Roberts,484
C.J. Watson,369
C.J. Wilcox,287
Russell Westbrook,"1,575,865"
James Harden,"1,771,375"
Stephen Curry,"1,848,121"
Chris Paul,"735,460"
Klay Thompson,"1,054,304"
Damian Lillard,"340,593"
Eric Gordon,"450,891"
CJ McCollum,"83,414"
Manu Ginobili,"214,670"
Andre Iguodala,"290,271"
Zach LaVine,"156,616"
Mike Conley,"75,710"
Jordan Clarkson,"460,979"
Devin Booker,"70,018"
Patrick Beverley,"169,351"
Victor Oladipo,"54,023"
Jamal Crawford,"76,642"
Shaun Livingston,"127,248"
Tony Parker,"111,148"
D'Angelo Russell,"86,770"
J.J. Redick,"41,211"
Nick Young,"68,085"
George Hill,"28,120"
Vince Carter,"73,528"
Ian Clark,"71,317"
Eric Bledsoe,"27,187"
Patty Mills,"40,483"
Rodney Hood,"15,555"
Seth Curry,"21,717"
Tony Allen,"15,301"
Tyler Ennis,"10,953"
Patrick McCaw,"21,159"
Emmanuel Mudiay,"5,770"
Alex Abrines,"16,299"
Danny Green,"43,922"
Kyle Anderson,"10,754"
Cameron Payne,"6,610"
Jose Calderon,"6,278"
Lou Williams,"29,970"
Jrue Holiday,"5,757"
Jonathon Simmons,"29,584"
J.J. Barea,"6,923"
Leandro Barbosa,"5,429"
Ricky Rubio,"19,495"
Jamal Murray,"3,526"
Raymond Felton,"5,138"
Gary Harris,"2,562"
Will Barton,"2,826"
Dante Exum,"3,411"
Austin Rivers,"10,045"
K.J. McDaniels,"8,164"
Wesley Matthews,"4,166"
Anthony Morrow,"7,455"
Deron Williams,"7,159"
Marcelo Huertas,"3,205"
Dejounte Murray,"5,867"
Justin Anderson,"3,045"
Tyreke Evans,"2,621"
Buddy Hield,"4,883"
Malik Beasley,"2,060"
Kris Dunn,"4,481"
Tyus Jones,"2,406"
Arron Afflalo,"4,413"
Evan Turner,"2,375"
Troy Daniels,"3,489"
Semaj Christon,"3,115"
Darren Collison,"1,948"
Tim Frazier,"1,549"
Brandon Knight,"2,717"
Bryn Forbes,"1,865"
Garrett Temple,"1,765"
Allen Crabbe,"2,460"
Wade Baldwin,"2,231"
Ty Lawson,"2,112"
Mike Miller,"1,208"
Bobby Brown,"2,060"
Ben McLemore,"1,122"
Alec Burks,"1,981"
Tyler Ulis,"1,901"
Shelvin Mack,"1,889"
Quincy Pondexter,709
Raul Neto,"1,652"
John Lucas III,389
Langston Galloway,"1,419"
Devin Harris,"1,379"
Pierre Jackson,220
Brandon Rush,"1,283"
Andrew Harrison,"1,172"
Jameer Nelson,991
Shabazz Napier,975
Pat Connaughton,917
Tim Quarterman,767
Malachi Richardson,716
E'Twaun Moore,560
John Jenkins,318
